"","V1","V2","V3"
"112",1.150,-1.105,"1"
"113",-0.641,-0.456,"1"
"114",0.126,0.211,"1"
"115",0.167,0.094,"1"
"116",1.422,-0.556,"1"
"117",-0.475,-1.386,"1"
"118",0.645,-1.427,"1"
"119",-0.903,0.207,"1"
"120",0.867,-1.665,"1"
"121",1.195,-0.536,"1"
"122",0.119,0.372,"1"
"123",-0.470,-1.266,"1"
"124",2.090,-0.112,"1"
"125",1.965,-0.022,"1"
"126",0.184,0.188,"1"
"127",0.127,0.168,"1"
"128",-0.570,0.273,"1"
"129",0.435,-1.506,"1"
"130",-0.797,0.338,"1"
"131",-0.522,0.515,"1"
"132",0.113,0.082,"1"
"133",0.019,0.001,"1"
"134",-1.153,-0.192,"1"
"135",-0.364,-1.424,"1"
"136",-1.239,-0.363,"1"
"137",-0.502,0.418,"1"
"138",0.136,0.245,"1"
"139",1.113,-1.143,"1"
"140",-0.684,-1.533,"1"
"141",-0.208,0.468,"1"
"142",0.145,0.306,"1"
"143",1.028,-1.315,"1"
"144",-0.641,0.165,"1"
"145",1.724,-0.367,"1"
"146",0.147,0.184,"1"
"147",-0.063,-1.299,"1"
"148",-0.490,0.560,"1"
"149",0.100,0.028,"1"
"150",-0.884,0.138,"1"
"151",0.051,0.009,"1"
"152",0.083,0.025,"1"
"153",-0.800,-1.149,"1"
"154",-0.436,0.447,"1"
"155",-0.595,-0.693,"1"
"156",1.759,-0.114,"1"
"157",-0.113,0.428,"1"
"158",-0.591,0.267,"1"
"159",-0.946,-0.029,"1"
"160",-0.070,0.605,"1"
"161",-0.714,-0.779,"1"
"162",0.130,0.066,"1"
"163",0.304,-1.044,"1"
"164",0.892,-1.173,"1"
"165",0.160,0.196,"1"
"166",-0.746,0.409,"1"
"167",0.069,0.020,"1"
"168",-0.106,0.467,"1"
"169",0.174,0.171,"1"
"170",-0.706,0.360,"1"
"171",0.020,0.001,"1"
"172",0.628,-1.076,"1"
"173",1.110,-1.454,"1"
"174",0.712,-1.267,"1"
"175",-0.036,0.481,"1"
"176",0.192,0.206,"1"
"177",-0.174,0.570,"1"
"178",-0.287,0.423,"1"
"179",-0.936,-0.597,"1"
"180",-0.599,0.464,"1"
"181",0.156,0.234,"1"
"182",-0.830,0.505,"1"
"183",-0.853,-0.818,"1"
"184",-0.563,-0.954,"1"
"185",0.161,0.139,"1"
"186",-0.919,-0.570,"1"
"187",0.147,0.172,"1"
"188",1.902,-0.224,"1"
"189",0.038,0.004,"1"
"190",0.192,0.460,"1"
"191",2.070,-0.475,"1"
"192",0.127,0.101,"1"
"193",-0.833,0.288,"1"
"194",-1.037,-0.170,"1"
"195",-0.746,-1.126,"1"
"196",0.043,0.007,"1"
"197",0.097,0.089,"1"
"198",0.010,0.000,"1"
"199",-0.018,0.544,"1"
"200",-0.311,0.547,"1"
"201",0.082,0.022,"1"
"202",0.932,-1.681,"1"
"203",-0.409,-0.813,"1"
"204",-1.200,-0.123,"1"
"205",-0.101,-1.380,"1"
"206",0.149,0.151,"1"
"207",1.206,-1.404,"1"
"208",0.752,-1.120,"1"
"209",-0.427,0.546,"1"
"210",1.591,-0.498,"1"
"211",-1.084,-0.053,"1"
"212",-0.760,0.180,"1"
"213",-0.998,0.030,"1"
"214",-0.704,0.181,"1"
"215",0.174,0.223,"1"
"216",2.091,-0.217,"1"
"217",0.012,0.541,"1"
"218",0.164,0.342,"1"
"219",-1.178,-0.438,"1"
"220",-0.013,0.342,"1"
"221",0.116,0.050,"1"
"222",0.609,-1.129,"1"
"223",-0.667,-0.992,"1"
"224",-0.409,-1.473,"1"
"225",-0.702,0.136,"1"
"226",0.180,0.258,"1"
"227",-0.205,0.400,"1"
"228",-0.789,0.366,"1"
"229",-0.915,0.214,"1"
"230",-0.933,-0.607,"1"
"231",0.212,-1.080,"1"
"232",1.766,-0.040,"1"
"233",-0.097,0.594,"1"
"234",-0.654,0.203,"1"
"235",0.191,0.256,"1"
"236",0.132,0.076,"1"
"237",1.118,-0.748,"1"
"238",0.632,-1.318,"1"
"239",-1.036,-0.377,"1"
"240",0.081,0.020,"1"
"241",0.256,-1.627,"1"
"242",0.084,0.021,"1"
"243",1.331,-0.545,"1"
"244",0.142,0.095,"1"
"245",-0.921,-0.571,"1"
"246",1.640,-0.924,"1"
"247",1.378,-1.064,"1"
"248",0.144,0.089,"1"
"249",-0.259,-1.277,"1"
"250",1.666,-1.221,"1"
"251",0.145,0.361,"1"
"252",0.107,0.049,"1"
"253",1.268,-1.014,"1"
"254",-0.058,0.507,"1"
"255",-1.053,-0.541,"1"
"256",0.069,0.024,"1"
"257",-0.189,-1.540,"1"
"258",-0.125,-1.364,"1"
"259",0.017,0.374,"1"
"260",-1.200,-0.300,"1"
"261",0.541,-1.490,"1"
"262",0.123,0.371,"1"
"263",0.347,-1.149,"1"
"264",0.036,0.006,"1"
"265",-0.485,0.549,"1"
"266",-0.106,-0.911,"1"
"267",-0.477,0.497,"1"
"268",0.051,0.009,"1"
"269",-0.345,-1.396,"1"
"270",-0.563,-1.452,"1"
"271",-0.431,0.577,"1"
"272",0.090,0.025,"1"
"273",-0.562,0.246,"1"
"274",1.004,-0.965,"1"
"275",-1.237,-0.396,"1"
"276",-0.672,0.009,"1"
"277",-0.816,0.357,"1"
"278",-0.516,-1.074,"1"
"279",0.180,0.127,"1"
"280",0.519,-1.454,"1"
"281",0.118,0.176,"1"
"282",2.203,-0.734,"1"
"283",-0.868,-0.985,"1"
"284",-0.536,0.665,"1"
"285",-0.296,-0.901,"1"
"286",0.219,0.385,"1"
"287",-0.943,0.112,"1"
"288",-0.650,0.511,"1"
"289",-0.315,0.474,"1"
"290",1.421,-1.146,"1"
"291",-0.756,0.232,"1"
"292",1.023,-1.163,"1"
"293",0.124,0.402,"1"
"294",1.574,-0.724,"1"
"295",1.748,-0.184,"1"
"296",-0.367,-1.355,"1"
"297",0.909,-1.509,"1"
"298",1.686,-1.075,"1"
"299",-0.353,0.631,"1"
"300",0.094,0.048,"1"
"301",-0.861,-0.306,"1"
"302",-1.069,-0.728,"1"
"303",-0.877,0.214,"1"
"304",-0.350,0.469,"1"
"305",0.110,0.064,"1"
"306",-0.359,0.647,"1"
"307",0.019,0.347,"1"
"308",1.195,-0.747,"1"
"309",-0.208,0.514,"1"
"310",0.169,0.137,"1"
"311",0.153,0.101,"1"
"312",-0.152,-1.381,"1"
"313",-0.896,-0.332,"1"
"314",-1.097,-0.615,"1"
"315",-0.601,-0.838,"1"
"316",0.111,0.043,"1"
"317",-1.031,0.186,"1"
"318",-0.251,0.553,"1"
"319",0.548,-1.585,"1"
"320",-0.776,-0.811,"1"
"321",-0.916,-0.315,"1"
"322",-0.732,-0.738,"1"
"323",-1.113,0.368,"1"
"324",0.057,0.009,"1"
"325",1.067,-1.278,"1"
"326",-0.517,0.329,"1"
"327",-0.650,0.565,"1"
"328",-0.393,-0.933,"1"
"329",-0.852,-0.598,"1"
"330",-1.122,0.152,"1"
"331",-0.068,-1.338,"1"
"332",0.045,0.009,"1"
"333",-0.708,-0.421,"1"
"334",1.827,-0.463,"1"
"335",-0.544,0.580,"1"
"336",0.122,0.091,"1"
"337",-0.057,0.528,"1"
"338",0.295,-1.170,"1"
"339",0.182,0.199,"1"
"340",1.252,-0.148,"1"
"341",0.154,0.160,"1"
"342",-0.136,0.416,"1"
"343",-0.895,-0.259,"1"
"344",0.086,0.032,"1"
"345",-0.832,0.260,"1"
"346",0.067,0.284,"1"
"347",0.166,0.370,"1"
"348",0.148,0.198,"1"
"349",-0.915,-0.641,"1"
"350",0.100,0.039,"1"
"351",1.268,-0.949,"1"
"352",0.197,0.162,"1"
"353",-0.773,-0.389,"1"
"354",-0.385,0.662,"1"
"355",0.142,0.322,"1"
"356",-0.208,0.616,"1"
"357",0.170,0.122,"1"
"358",0.629,-1.536,"1"
"359",-0.168,-1.301,"1"
"360",-0.552,-0.802,"1"
"361",0.142,0.088,"1"
"362",-0.547,0.563,"1"
"363",-1.209,-0.400,"1"
"364",-0.135,0.509,"1"
"365",0.155,0.078,"1"
"366",-0.609,0.224,"1"
"367",0.102,0.034,"1"
"368",-0.732,0.248,"1"
"369",-0.157,0.469,"1"
"370",-0.784,-1.218,"1"
"371",0.104,-1.538,"1"
"372",0.218,0.148,"1"
"373",0.055,0.010,"1"
"374",-0.308,-1.283,"1"
"375",1.158,-1.315,"1"
"376",0.017,0.422,"1"
"377",1.260,-0.928,"1"
"378",0.019,0.001,"1"
"379",-0.557,0.292,"1"
"380",-0.285,0.548,"1"
"381",-0.775,0.231,"1"
"382",-0.841,-0.329,"1"
"383",-0.013,0.566,"1"
"384",0.039,-1.073,"1"
"385",0.140,0.100,"1"
"386",0.123,0.234,"1"
"387",0.273,-1.042,"1"
"388",1.256,-0.317,"1"
"389",0.070,0.022,"1"
"390",0.123,0.136,"1"
"391",-0.453,-1.268,"1"
"392",0.402,-1.210,"1"
"393",-0.850,-0.045,"1"
"394",-0.384,0.565,"1"
"395",-0.886,0.625,"1"
"396",0.142,0.101,"1"
"397",0.035,0.004,"1"
"398",-0.827,0.179,"1"
"399",-0.951,-0.400,"1"
"400",0.200,0.214,"1"
"401",0.871,-1.033,"1"
"402",0.053,0.429,"1"
"403",-0.760,0.431,"1"
"404",-1.080,-0.220,"1"
"405",-0.829,-1.025,"1"
"406",0.163,0.146,"1"
"407",-0.288,-1.071,"1"
"408",0.057,0.474,"1"
"409",-0.457,-2.070,"1"
"410",1.984,-0.584,"1"
"411",0.170,0.263,"1"
"412",-1.028,-0.206,"1"
"413",0.818,-1.457,"1"
"414",0.133,0.160,"1"
"415",-0.620,-0.947,"1"
"416",0.717,-1.785,"1"
"417",0.331,-1.641,"1"
"418",0.038,0.472,"1"
"419",-0.290,0.450,"1"
"420",-0.106,-1.029,"1"
"421",-0.926,0.176,"1"
"422",-0.149,-1.777,"1"
"423",-0.913,-0.029,"1"
"424",0.334,-1.883,"1"
"425",-0.319,-1.047,"1"
"426",0.134,0.152,"1"
"427",-0.972,0.095,"1"
"428",-0.507,0.554,"1"
"429",-0.275,-1.059,"1"
"430",-0.304,-1.536,"1"
"431",-0.299,0.428,"1"
"432",1.666,-0.219,"1"
"433",-0.649,-0.733,"1"
"434",-0.461,-0.907,"1"
"435",1.836,-0.681,"1"
"436",-0.575,0.509,"1"
"437",1.817,-0.146,"1"
"438",-0.310,-1.714,"1"
"439",-0.631,0.429,"1"
"440",0.050,0.008,"1"
"441",-0.821,-1.050,"1"
"442",-1.286,-0.516,"1"
"443",-0.937,0.305,"1"
"444",0.035,0.003,"1"
"445",1.859,-0.342,"1"
"446",-0.770,-0.470,"1"
"447",-1.020,-0.038,"1"
"448",0.093,0.045,"1"
"449",-0.765,0.229,"1"
"450",-0.543,0.539,"1"
"451",2.344,-0.232,"1"
"452",0.144,0.113,"1"
"453",-0.986,-0.561,"1"
"454",1.604,-1.014,"1"
"455",0.093,0.474,"1"
"456",0.150,0.335,"1"
"457",-1.116,0.125,"1"
"458",1.650,-0.011,"1"
"459",2.067,-0.017,"1"
"460",0.105,0.332,"1"
"461",0.200,-1.524,"1"
"462",0.800,-1.829,"1"
"463",-0.445,-1.424,"1"
"464",0.037,0.402,"1"
"465",0.163,-1.807,"1"
"466",0.077,0.459,"1"
"467",-0.472,-1.264,"1"
"468",0.086,0.030,"1"
"469",-0.294,0.520,"1"
"470",-0.118,0.528,"1"
"471",0.169,0.161,"1"
"472",-0.826,-1.037,"1"
"473",0.084,0.037,"1"
"474",-0.861,-1.217,"1"
"475",0.852,-1.236,"1"
"476",0.100,-1.740,"1"
"477",0.118,0.056,"1"
"478",2.418,-0.404,"1"
"479",0.086,0.400,"1"
"480",1.045,-1.408,"1"
"481",0.108,0.239,"1"
"482",-0.322,0.628,"1"
"483",0.921,-1.418,"1"
"484",-0.519,0.392,"1"
"485",0.662,-1.444,"1"
"486",1.041,-0.642,"1"
"487",0.155,0.121,"1"
"488",0.360,-1.196,"1"
"489",-0.675,0.219,"1"
"490",0.094,0.036,"1"
"491",0.030,0.542,"1"
"492",-1.208,-0.793,"1"
"493",0.938,-1.197,"1"
"494",-0.065,0.506,"1"
"495",0.532,-1.560,"1"
"496",0.079,0.020,"1"
"497",1.936,-0.542,"1"
"498",1.174,-1.505,"1"
"499",1.050,-0.214,"1"
"500",0.683,-1.278,"1"
"501",-0.046,0.494,"1"
"502",-0.910,-0.498,"1"
"503",0.300,-1.232,"1"
"504",0.135,0.106,"1"
"505",-0.613,0.458,"1"
"506",-0.028,0.561,"1"
"507",0.005,9.69360189760605e-05,"1"
"508",-1.148,-0.646,"1"
"509",-0.083,0.469,"1"
"510",-1.116,-0.269,"1"
"511",-0.982,-0.162,"1"
"512",-0.229,0.505,"1"
"513",-0.752,0.600,"1"
"514",-0.395,0.649,"1"
"515",0.128,0.065,"1"
"516",0.178,0.176,"1"
"517",-0.562,0.411,"1"
"518",0.196,0.231,"1"
"519",-0.679,-0.942,"1"
"520",-0.016,-1.633,"1"
"521",0.203,0.124,"1"
"522",-1.070,-0.605,"1"
"523",-0.301,0.739,"1"
"524",0.137,0.380,"1"
"525",1.060,-0.883,"1"
"526",-0.763,-0.870,"1"
"527",-0.880,-0.446,"1"
"528",-0.487,0.564,"1"
"529",-0.018,-1.145,"1"
"530",-0.552,0.490,"1"
"531",1.829,-0.313,"1"
"532",-0.667,0.070,"1"
"533",0.043,-1.551,"1"
"534",0.074,0.019,"1"
"535",1.752,-0.247,"1"
"536",0.120,0.377,"1"
"537",1.033,-1.830,"1"
"538",-0.634,-1.069,"1"
"539",-0.742,0.250,"1"
"540",-0.127,0.449,"1"
"541",-0.689,-0.038,"1"
"542",-1.203,-0.374,"1"
"543",0.761,-1.543,"1"
"544",1.291,-0.403,"1"
"545",1.755,-0.516,"1"
"546",0.008,0.473,"1"
"547",0.108,0.066,"1"
"548",-0.461,0.427,"1"
"549",-0.024,0.472,"1"
"550",-0.151,0.615,"1"
"551",0.009,0.000,"1"
"552",-1.107,-0.674,"1"
"553",1.724,-0.740,"1"
"554",-0.872,-0.915,"1"
"555",0.059,0.404,"1"
"556",0.174,0.449,"1"
"557",1.080,-1.333,"1"
"558",-0.772,-0.497,"1"
"559",0.734,-1.460,"1"
"560",0.156,0.168,"1"
"561",0.030,0.003,"1"
"562",-1.037,-0.279,"1"
"563",0.139,0.068,"1"
"564",-0.791,0.010,"1"
"565",-0.825,-1.060,"1"
"566",-0.937,0.017,"1"
"567",0.745,-1.795,"1"
"568",0.123,0.193,"1"
"569",0.100,0.318,"1"
"570",0.168,0.183,"1"
"571",-0.100,0.526,"1"
"572",0.097,0.029,"1"
"573",-0.163,0.486,"1"
"574",-0.670,0.460,"1"
"575",0.047,0.006,"1"
"576",1.101,-1.254,"1"
"577",0.432,-1.390,"1"
"578",-0.995,0.300,"1"
"579",-0.347,0.459,"1"
"580",0.112,0.386,"1"
"581",0.943,-1.026,"1"
"582",1.536,-1.134,"1"
"583",0.070,0.019,"1"
"584",-0.064,-1.107,"1"
"585",0.138,0.084,"1"
"586",-0.213,0.424,"1"
"587",-1.193,-0.975,"1"
"588",-1.004,0.077,"1"
"589",0.060,0.011,"1"
"590",0.132,0.326,"1"
"591",-0.644,-0.062,"1"
"592",-0.676,0.398,"1"
"593",-0.922,-0.834,"1"
"594",-1.121,-1.172,"1"
"595",-1.128,-0.446,"1"
"596",0.923,-1.084,"1"
"597",0.047,0.007,"1"
"598",0.084,0.266,"1"
"599",0.712,-1.430,"1"
"600",0.796,-0.868,"1"
"601",1.398,-0.077,"1"
"602",-0.872,-0.315,"1"
"603",-0.626,0.168,"1"
"604",-0.659,0.493,"1"
"605",-0.787,0.358,"1"
"606",1.034,-1.328,"1"
"607",0.096,0.055,"1"
"608",-0.777,0.423,"1"
"609",1.472,-1.021,"1"
"610",0.047,0.007,"1"
"611",0.111,0.058,"1"
"612",0.133,0.143,"1"
"613",0.204,0.285,"1"
"614",-0.478,0.569,"1"
"615",-0.171,0.663,"1"
"616",-0.270,-1.570,"1"
"617",-0.495,0.584,"1"
"618",-0.853,-0.221,"1"
"619",0.119,0.360,"1"
"620",-0.950,-0.892,"1"
"621",0.172,0.261,"1"
"622",-0.936,-0.620,"1"
"623",-0.335,-1.559,"1"
"624",0.185,0.367,"1"
"625",-0.985,0.098,"1"
"626",-0.132,0.534,"1"
"627",2.428,-0.229,"1"
"628",1.629,-0.534,"1"
"629",0.070,0.021,"1"
"630",-0.724,-1.219,"1"
"631",-0.247,0.661,"1"
"632",0.068,0.391,"1"
"633",-0.661,0.567,"1"
"634",0.117,0.069,"1"
"635",-0.766,-1.149,"1"
"636",1.018,-1.113,"1"
"637",1.726,-1.312,"1"
"638",-0.009,0.566,"1"
"639",0.276,-1.143,"1"
"640",0.064,0.014,"1"
"641",-0.887,-0.647,"1"
"642",1.294,-1.070,"1"
"643",-0.736,-1.098,"1"
"644",1.443,-0.065,"1"
"645",1.380,-1.381,"1"
"646",1.396,-0.552,"1"
"647",0.088,0.302,"1"
"648",0.520,-1.158,"1"
"649",-0.781,-0.769,"1"
"650",0.138,0.082,"1"
"651",-0.816,-0.932,"1"
"652",2.207,-0.316,"1"
"653",1.713,-1.431,"1"
"654",-1.041,-0.832,"1"
"655",-0.755,-0.739,"1"
"656",-0.020,0.536,"1"
"657",1.315,-1.237,"1"
"658",1.916,-0.929,"1"
"659",-0.033,0.377,"1"
"660",-0.735,-1.133,"1"
"661",-0.886,-0.892,"1"
"662",0.155,0.117,"1"
"663",1.670,-0.735,"1"
"664",-1.047,-0.523,"1"
"665",-0.739,0.089,"1"
"666",0.151,0.151,"1"
"667",-0.747,0.190,"1"
"668",-0.036,-1.894,"1"
"669",0.109,0.039,"1"
"670",0.027,0.002,"1"
"671",0.067,0.018,"1"
"672",-0.734,-0.000,"1"
"673",1.066,-0.983,"1"
"674",1.762,-0.930,"1"
"675",0.106,0.219,"1"
"676",0.084,0.403,"1"
"677",0.086,-1.293,"1"
"678",-0.030,0.442,"1"
"679",-0.089,0.289,"1"
"680",0.699,-1.393,"1"
"681",-0.711,0.361,"1"
"682",0.656,-1.072,"1"
"683",-0.512,0.079,"1"
"684",-0.530,0.340,"1"
"685",0.747,-0.821,"1"
"686",0.175,0.204,"1"
"687",-0.643,-0.707,"1"
"688",0.115,0.050,"1"
"689",0.782,-0.862,"1"
"690",0.616,-1.632,"1"
"691",0.450,-1.449,"1"
"692",0.111,0.048,"1"
"693",-0.276,0.564,"1"
"694",-0.622,0.515,"1"
"695",1.882,-0.821,"1"
"696",1.771,-0.607,"1"
"697",0.068,0.014,"1"
"698",1.720,-0.727,"1"
"699",-0.324,0.572,"1"
"700",0.069,0.023,"1"
"701",0.053,-1.423,"1"
"702",-0.856,-0.554,"1"
"703",-0.631,-1.298,"1"
"704",-0.034,0.487,"1"
"705",-0.549,-0.805,"1"
"706",0.009,0.000,"1"
"707",-0.880,0.009,"1"
"708",-0.619,-1.044,"1"
"709",-0.930,-1.116,"1"
"710",0.528,-1.468,"1"
"711",0.116,0.293,"1"
"712",0.174,0.131,"1"
"713",2.213,-0.088,"1"
"714",1.428,-1.089,"1"
"715",0.073,0.016,"1"
"716",-0.754,0.536,"1"
"717",-0.989,-0.727,"1"
"718",0.132,0.110,"1"
"719",1.844,-0.402,"1"
"720",0.153,0.189,"1"
"721",0.356,-1.272,"1"
"722",-0.127,0.480,"1"
"723",-0.362,0.395,"1"
"724",-0.904,0.156,"1"
"725",1.419,-0.131,"1"
"726",-1.069,-0.154,"1"
"727",-0.921,0.572,"1"
"728",-1.034,0.174,"1"
"729",1.795,-0.635,"1"
"730",-0.071,0.495,"1"
"731",-0.620,-0.896,"1"
"732",0.005,0.000,"1"
"733",-0.236,0.437,"1"
"734",-0.209,0.336,"1"
"735",0.164,0.100,"1"
"736",-0.274,-1.483,"1"
"737",-0.392,-1.060,"1"
"738",1.958,-0.341,"1"
"739",-0.837,0.136,"1"
"740",1.821,-1.015,"1"
"741",-1.021,-0.546,"1"
"742",-0.409,-1.575,"1"
"743",-0.335,0.410,"1"
"744",1.180,-1.490,"1"
"745",1.667,-0.180,"1"
"746",0.087,0.414,"1"
"747",-0.871,-0.723,"1"
"748",1.177,-0.379,"1"
"749",-0.917,-0.260,"1"
"750",0.188,0.150,"1"
"751",0.139,0.064,"1"
"752",-0.753,-0.618,"1"
"753",0.063,0.016,"1"
"754",-0.926,-0.924,"1"
"755",-0.880,0.433,"1"
"756",-0.399,-0.939,"1"
"757",0.100,0.043,"1"
"758",0.147,0.458,"1"
"759",-0.611,0.037,"1"
"760",1.345,-1.055,"1"
"761",0.136,0.382,"1"
"762",-0.981,-0.388,"1"
"763",-0.510,-1.185,"1"
"764",-0.268,-0.803,"1"
"765",-0.781,0.300,"1"
"766",-0.246,0.592,"1"
"767",1.596,-1.501,"1"
"768",-0.563,0.457,"1"
"769",-0.766,0.034,"1"
"770",0.073,0.019,"1"
"771",2.088,-0.920,"1"
"772",0.111,-1.612,"1"
"773",-1.210,-0.136,"1"
"774",-0.269,0.541,"1"
"775",-0.844,-0.070,"1"
"776",0.946,-0.904,"1"
"777",-0.229,-1.530,"1"
"778",0.150,0.119,"1"
"779",-0.845,-0.853,"1"
"780",1.684,-0.996,"1"
"781",0.118,0.209,"1"
"782",1.175,-0.587,"1"
"783",0.098,0.046,"1"
"784",-0.284,0.600,"1"
"785",0.476,-1.022,"1"
"786",0.062,0.512,"1"
"787",0.057,0.012,"1"
"788",0.056,0.432,"1"
"789",-0.127,0.533,"1"
"790",-0.153,0.537,"1"
"791",1.178,-0.124,"1"
"792",-0.584,0.451,"1"
"793",1.391,-0.888,"1"
"794",0.446,-1.475,"1"
"795",1.181,-0.369,"1"
"796",0.132,0.284,"1"
"797",0.102,0.031,"1"
"798",0.226,0.222,"1"
"799",-0.494,0.261,"1"
"800",-0.155,0.549,"1"
"801",0.063,-1.207,"1"
"802",0.120,-1.692,"1"
"803",-0.881,0.349,"1"
"804",0.090,0.035,"1"
"805",-0.328,0.526,"1"
"806",-0.091,-1.243,"1"
"807",-0.818,-0.214,"1"
"808",0.031,0.003,"1"
"809",0.028,0.369,"1"
"810",0.184,0.216,"1"
"811",0.162,0.278,"1"
"812",-0.564,-0.736,"1"
"813",-0.107,-1.029,"1"
"814",0.117,0.051,"1"
"815",-0.235,0.533,"1"
"816",-1.102,-1.224,"1"
"817",0.519,-2.003,"1"
"818",-0.885,-0.693,"1"
"819",0.921,-1.206,"1"
"820",-0.311,0.248,"1"
"821",0.175,0.404,"1"
"822",-0.339,-1.794,"1"
"823",0.020,0.542,"1"
"824",0.144,0.076,"1"
"825",0.112,0.063,"1"
"826",-0.251,-1.759,"1"
"827",-0.437,-1.381,"1"
"828",-0.167,0.393,"1"
"829",-0.078,-1.500,"1"
"830",-0.538,0.372,"1"
"831",-0.570,-1.305,"1"
"832",0.105,0.030,"1"
"833",1.656,-1.103,"1"
"834",0.102,0.042,"1"
"835",0.197,0.284,"1"
"836",-0.376,0.525,"1"
"837",-0.674,0.367,"1"
"838",-0.931,0.088,"1"
"839",-1.061,-1.101,"1"
"840",1.325,-1.903,"1"
"841",1.727,-1.026,"1"
"842",-0.492,0.256,"1"
"843",-1.019,-0.087,"1"
"844",0.143,0.199,"1"
"845",0.132,0.402,"1"
"846",-0.904,-0.361,"1"
"847",0.012,0.000,"1"
"848",-0.873,0.220,"1"
"849",1.372,-0.208,"1"
"850",-0.871,-0.286,"1"
"851",-0.994,-0.608,"1"
"852",-0.685,-1.315,"1"
"853",1.621,-0.248,"1"
"854",-0.099,0.426,"1"
"855",1.885,-0.174,"1"
"856",-0.542,-1.175,"1"
"857",0.084,-1.262,"1"
"858",0.364,-1.329,"1"
"859",-0.753,0.094,"1"
"860",1.180,-1.447,"1"
"861",-0.744,-0.681,"1"
"862",-0.693,-0.923,"1"
"863",-0.927,-0.587,"1"
"864",1.372,-0.130,"1"
"865",-0.728,0.377,"1"
"866",-0.466,-0.721,"1"
"867",-0.557,-0.230,"1"
"868",0.108,0.362,"1"
"869",-0.999,0.070,"1"
"870",-1.075,-0.359,"1"
"871",-1.019,-0.085,"1"
"872",-0.905,0.092,"1"
"873",0.171,0.094,"1"
"874",-0.115,-1.036,"1"
"875",1.299,-1.126,"1"
